浙江卫视4K,#http://101.35.240.114:88/live.php?id=浙江卫视4K
纯享4K,#http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221226825/index.m3u8
求索纪录4K,http://tvbox6.icu/tv/gdmzyd.php?id=104
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
1905电影网（国内）,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
美亚电影台,https://live.tvfix.org/live/mydy/index.m3u8
漫威电影,http://1.94.31.214:35455/douyu/6140589
精彩影视,http://111.22.153.159:35455/itv/6000000006000320630.m3u8?cdn=wasusyt
纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
茶友频道,#http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221226859/index.m3u8
新纪实,http://bp-resource-dfl.bestv.cn/155/3/video.m3u8
上海新闻,http://bp-livetytv.bestv.cn/ch/bestvxwzh.m3u8
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
哒啵赛事,#http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227331/index.m3u8
哒啵电竞,http://111.22.153.159:35455/itv/1000000006000032327.m3u8?cdn=ystenlive
七彩戏剧,http://111.22.153.159:35455/itv/5000000011000031116.m3u8?cdn=bestzb
天元围棋,http://wouu.net:9977/udp/239.93.42.55:5140
凤凰资讯台,http://101.35.240.114:88/phenix.php?id=fhzx
北京纪实科教8K,http://101.35.240.114:88/brtv8k.php
鳳凰衛視中文台,http://bxtv.3a.ink/api.php?id=fhzw
鳳凰衛視資訊台,http://bxtv.3a.ink/api.php?id=fhzx
鳳凰衛視香港台,http://bxtv.3a.ink/api.php?id=fhhk
千禧經典台,http://bxtv.3a.ink/api.php?id=qxjd
無線新聞台,http://bxtv.3a.ink/api.php?id=wxxw
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
美亞電影台,http://bxtv.3a.ink/api.php?id=meiya
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
2026-01-29 00:24:21,https://vd3.bdstatic.com/mda-rkaittm5s06vzzyq/sc/cae_h264/1762869883709304452/mda-rkaittm5s06vzzyq.mp4
myTV SUPER 18台,http://bxtv.3a.ink/api.php?id=18
支持作者,https://vd3.bdstatic.com/mda-rkaittm5s06vzzyq/sc/cae_h264/1762869883709304452/mda-rkaittm5s06vzzyq.mp4
www.izbds.com,https://vd3.bdstatic.com/mda-rkaittm5s06vzzyq/sc/cae_h264/1762869883709304452/mda-rkaittm5s06vzzyq.mp4
PopC,http://bxtv.3a.ink/api.php?id=popc
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
